time;throughput (kbps)
90.8;36734.3
90.9;52155
91;38992.7
91.1;41990.2
91.2;46416.9
91.3;49488.2
91.4;35415.4
91.5;39593.7
91.6;30910.5
91.7;29495.9
91.8;42231
91.9;47374.2
92;46439.7
92.1;45122.3
92.2;54922.2
92.3;52178.6
92.4;45438.6
92.5;39847.6
92.6;48851
92.7;46269.4
92.8;36931.5
92.9;43445.4
93;29409.4
93.1;32566.9
93.2;59193.3
93.3;33729.6
93.4;56965.3
93.5;44554
93.6;40123
93.7;23938
93.8;33971.6
93.9;33367.4
94;34378.4
94.1;46346.6
94.2;35161.8
94.3;34939
94.4;38636.2
94.5;34879.4
94.6;52390.7
94.7;36952.2
94.8;33027.4
94.9;39004.6
95;51368.4
95.1;39782.2
95.2;37027.8
95.3;52556.5
95.4;39094.9
95.5;35196.8
95.6;54891.2
95.7;63133.6
95.8;37913.8
95.9;30539.4
96;26615.5
96.1;47637.5
96.2;55343.3
96.3;41593.5
96.4;31493.3
96.5;46433.8
96.6;34256.2
96.7;41707
96.8;36596.7
96.9;50502.2
97;53609.4
97.1;44751.1
97.2;32937
97.3;43864.6
97.4;54264
97.5;61396.7
97.6;43608.3
97.7;53859.7
97.8;37481.8
97.9;34273.8
98;52765.3
98.1;48813.8
98.2;54233.3
98.3;39758.6
98.4;46552.3
98.5;51124.6
98.6;45987.7
98.7;44274.8
98.8;33295.1
98.9;37160.8
99;36955.5
99.1;71725
99.2;48247.4
99.3;46716.3
99.4;52625.2
99.5;27313
99.6;31712.9
99.7;40900.7
99.8;47763.6
99.9;55243.2
100;45892.5
100.1;27066.1
100.2;41087.7
100.3;31646.2
100.4;49722.1
100.5;51818.8
100.6;40502.5
100.7;28464
100.8;34225.1
100.9;47087.8
101;54534.9
101.1;51583.6
101.2;35986.6
101.3;54783.8
101.4;60492.9
101.5;47063.4
101.6;43678.9
101.7;48949.3
101.8;47681.1
101.9;34097.9
102;43483.7
102.1;54288.6
102.2;38315.8
102.3;39514.4
102.4;32933.8
102.5;58399.5
102.6;46310.9
102.7;43753.2
102.8;23129.4
102.9;30486.5
103;38023
103.1;53371
103.2;38734.9
103.3;34963.3
103.4;44417.8
103.5;23311.1
103.6;49482.5
103.7;55565.6
103.8;40452.6
103.9;55653.4
104;40779.5
104.1;35948.4
104.2;61134.7
104.3;56347.2
104.4;44465.5
104.5;37098.6
104.6;42630.3
104.7;57664
104.8;30470.3
104.9;39728.1
105;48966.2
105.1;46158.9
105.2;42502.5
105.3;42861.9
105.4;41112.3
105.5;45839.2
105.6;41772.4
105.7;51792
105.8;32893.8
105.9;32460.7
106;45737.6
106.1;31385
106.2;42633
106.3;43368.9
106.4;51037.4
106.5;30469.7
106.6;47149
106.7;24572.2
106.8;28828.6
106.9;41488.9
107;36143.4
107.1;27920.5
107.2;31769.4
107.3;27816.1
107.4;20445.6
107.5;41326.4
107.6;36364.5
107.7;36033.3
107.8;39660.1
107.9;28750.2
108;32105.2
108.1;45487.6
108.2;41801.2
108.3;45377.6
108.4;37930.6
108.5;53843.9
108.6;27566.2
108.7;44095.2
108.8;47766.9
108.9;39866.6
109;34525
109.1;60768.9
109.2;34981
109.3;36311.5
109.4;38275.3
109.5;41777.4
109.6;44639.8
109.7;54520.8
109.8;32337.5
109.9;33198.8
110;28951.8
110.1;50287.4
110.2;47261.3
110.3;42567.4
110.4;34570
110.5;53282.2
110.6;38115.1
110.7;44203.1
110.8;42515.9
110.9;53319.3
111;49811.8
111.1;50852.1
111.2;43257
111.3;47141.9
111.4;28627.4
111.5;35589.1
111.6;44971.9
111.7;41079
111.8;48945.4
111.9;37660.2
112;29765.4
112.1;55830.6
112.2;43061
112.3;56498.7
112.4;49405.7
112.5;41751.8
112.6;50223
112.7;60794.6
112.8;38845.8
112.9;42030
113;38904.6
113.1;44528.3
113.2;55362.4
113.3;31540.9
113.4;43224.1
113.5;36339.9
113.6;21532
113.7;41617.7
113.8;43167.1
113.9;32113.8
114;29958.5
114.1;27010
114.2;38759.7
114.3;46656
114.4;37374.9
114.5;31106.6
114.6;31635.8
114.7;30052.2
114.8;34587.2
114.9;41331.8
115;30183.8
115.1;35736.2
115.2;44022
115.3;35626.6
115.4;42744.2
115.5;33561.4
115.6;39255.3
115.7;50029.8
115.8;31323.1
115.9;30529
116;45142.3
116.1;52254.3
116.2;40122.4
116.3;46567.4
116.4;37130.8
116.5;33892.6
116.6;40775
116.7;40037.8
116.8;32673.2
116.9;42753.2
117;41185.5
117.1;35881.4
117.2;55213.6
117.3;45455.6
117.4;47995.9
117.5;32978.6
117.6;46588.7
117.7;41983.4
117.8;30302.1
117.9;36754.3
118;31462.5
118.1;44591.8
118.2;38006.8
118.3;45384.8
118.4;47366.8
118.5;39743.2
118.6;45131
118.7;31103
118.8;43249.4
118.9;27479.2
119;43850.7
119.1;31943.4
119.2;36055.5
119.3;39949.2
119.4;32911
119.5;42465.8
119.6;37512.9
119.7;43482.9
119.8;34386
119.9;29726.8
120;48125.9
120.1;25374.1
120.2;38620.9
120.3;25792.3
120.4;32003.4
120.5;45491.9
120.6;42455.2
120.7;39170.4
120.8;25149.1
120.9;58654.6
121;30812.7
121.1;40875.2
121.2;35206.2
121.3;48567.9
121.4;32102.6
121.5;50756.2
121.6;37309.1
121.7;37569.6
121.8;54004.8
121.9;42434.2
122;52198.7
122.1;48050.3
122.2;38229.1
122.3;42935
122.4;33322
122.5;46672.9
122.6;43449.8
122.7;33239.8
122.8;51589.4
122.9;59695.8
123;44036.3
123.1;35549.4
123.2;40675.5
123.3;43530.8
123.4;40383.8
123.5;58274.1
123.6;34454.3
123.7;57465.7
123.8;46813
123.9;21836.2
124;31878.7
124.1;42937
124.2;37574.1
124.3;38827.5
124.4;47334.2
124.5;23929.4
124.6;28967.4
124.7;43276.4
124.8;42165.3
124.9;38041.5
125;29409.2
125.1;46501.7
125.2;27180.4
125.3;36200.5
125.4;33525.5
125.5;39636.2
125.6;55207
125.7;38098.6
125.8;50288.6
125.9;33162.4
126;27650.9
126.1;45743.8
126.2;22888.3
126.3;37590.2
126.4;62705.4
126.5;29189.6
126.6;27923.2
126.7;36188.9
126.8;33489.2
126.9;28710.3
127;41369.5
127.1;36724.1
127.2;45105.1
127.3;29712
127.4;31139.8
127.5;35048
127.6;30044.2
127.7;47617.1
127.8;29030.6
127.9;27888.3
128;61419.8
128.1;37282.4
128.2;28435.5
128.3;40868.2
128.4;38155.6
128.5;34227.8
128.6;45935.9
128.7;41439.2
128.8;28376.4
128.9;38759.8
129;35464.1
129.1;53058
129.2;41650.4
129.3;39029.1
129.4;26718.2
129.5;29742.3
129.6;30425.2
129.7;27534.3
129.8;28946.3
129.9;33366.2
130;40231.8
130.1;33249.5
130.2;26339.1
130.3;36933.1
130.4;36525.8
130.5;34944.5
130.6;31916.3
130.7;50245.9
130.8;46517
130.9;51378.9
131;37632.4
131.1;54775.8
131.2;31889.7
131.3;43675.4
131.4;37936.9
131.5;31741.4
131.6;33073.8
131.7;46871.4
131.8;38284.7
131.9;54311.2
132;30916.7
132.1;43493
132.2;36089
132.3;61311.4
132.4;44484.1
132.5;39736.8
132.6;38537.1
132.7;29204
132.8;53579.9
